ViewID	SpeciesID	SubspeciesID	Family	Mnemonic	Genus	SpeciesName	Rank	Subspecies	Authority	IDLevel	subspMnemonic	subspAuthority	FieldFamily	Lifeform	Description	wsg	wsglevel	ListOfOldNames	Specimens	Reference
114	169	NULL	Rubiaceae	PALRIP	Palicourea	croceoides	NULL	NULL	Ham.	species	NULL	NULL	Rubiaceae	NULL	NULL	0.52667	genus	NULL	NULL	NULL
115	170	NULL	Phytolaccaceae	PHYICO	Phytolacca	rivinoides	NULL	NULL	Kunth & C.D. Bouché	species	NULL	NULL	Phytolaccaceae	NULL	NULL	0.258	genus	NULL	NULL	NULL
116	171	NULL	Piperaceae	PIPADU	Piper	aduncum	NULL	NULL	L.	species	NULL	NULL	Piperaceae	NULL	NULL	0.4	species	NULL	NULL	NULL
117	172	NULL	Piperaceae	PIPAMA	Piper	amalago	NULL	NULL	L.	species	NULL	NULL	Piperaceae	NULL	NULL	0.401667	species	NULL	NULL	NULL
118	173	NULL	Piperaceae	PIPBLA	Piper	blattarum	NULL	NULL	Spreng.	species	NULL	NULL	Piperaceae	NULL	NULL	0.455534	species	NULL	NULL	NULL
119	174	NULL	Piperaceae	PIPGLA	Piper	glabrescens	NULL	NULL	(Miq.) C.DC.	species	NULL	NULL	Piperaceae	NULL	NULL	0.288269	species	NULL	NULL	NULL
120	175	NULL	Piperaceae	PIPHIS	Piper	hispidum	NULL	NULL	Sw.	species	NULL	NULL	Piperaceae	NULL	NULL	0.392696	species	NULL	NULL	NULL
121	176	NULL	Piperaceae	PIPJAC	Piper	jacquemontianum	NULL	NULL	Knuth	species	NULL	NULL	Piperaceae	NULL	NULL	0.39	species	NULL	NULL	NULL
122	177	NULL	Nyctaginaceae	PISBOR	Pisonia	sp. 1 borinquena	NULL	NULL	(undescribed)	species	NULL	NULL	Nyctaginaceae	NULL	NULL	0.584404	none	NULL	NULL	NULL
123	178	NULL	Canellaceae	PLEMAC	Pleodendron	macranthum	NULL	NULL	(Baill.) Tiegh.	species	NULL	NULL	Canellaceae	NULL	NULL	0.736333	family	NULL	NULL	NULL
124	179	NULL	Asteraceae	PLUSYM	Pluchea	carolinensis	NULL	NULL	(Jacq.) G. Don	species	NULL	NULL	Asteraceae	NULL	NULL	0.636096	family	NULL	NULL	NULL
125	180	NULL	Piperaceae	POTPEL	Piper	peltatum	NULL	NULL	L.	species	NULL	NULL	Piperaceae	NULL	NULL	0.382514	genus	NULL	NULL	NULL
126	181	NULL	Piperaceae	POTUMB	Piper	umbellatum	NULL	NULL	L.	species	NULL	NULL	Piperaceae	NULL	NULL	0.308309	species	NULL	NULL	NULL
127	182	NULL	Arecaceae	PREMON	Prestoea	acuminata	NULL	NULL	(Willd.) H.E. Moore	species	NULL	NULL	Arecaceae	NULL	NULL	0.279657	genus	NULL	NULL	NULL
128	183	NULL	Moraceae	PSESPU	Pseudolmedia	spuria	NULL	NULL	(Sw.) Griseb.	species	NULL	NULL	Moraceae	NULL	NULL	0.675	species	NULL	NULL	NULL
129	184	NULL	Rubiaceae	PSYBER	Psychotria	berteroana	NULL	NULL	DC.	species	NULL	NULL	Rubiaceae	NULL	NULL	0.524742	genus	NULL	NULL	NULL
130	185	NULL	Rubiaceae	PSYBRA	Psychotria	brachiata	NULL	NULL	Sw.	species	NULL	NULL	Rubiaceae	NULL	NULL	0.376259	species	NULL	NULL	NULL
131	186	NULL	Rubiaceae	PSYDEF	Psychotria	deflexa	NULL	NULL	DC.	species	NULL	NULL	Rubiaceae	NULL	NULL	0.480397	species	NULL	NULL	NULL
132	187	NULL	Rubiaceae	PSYGRA	Psychotria	grandis	NULL	NULL	Sw.	species	NULL	NULL	Rubiaceae	NULL	NULL	0.294816	species	NULL	NULL	NULL
133	188	NULL	Fabaceae-papilionoideae	PTEOFF	Pterocarpus	officinalis	NULL	NULL	Jacq.	species	NULL	NULL	Fabaceae	NULL	NULL	0.379868	species	NULL	NULL	NULL
134	189	NULL	Malvaceae	QUATUR	Quararibea	turbinata	NULL	NULL	(Sw.) Poir	species	NULL	NULL	Malvaceae	NULL	NULL	0.57829	species	NULL	NULL	NULL
135	190	NULL	Apocynaceae	RAUNIT	Rauvolfia	nitida	NULL	NULL	Jacq.	species	NULL	NULL	Apocynaceae	NULL	NULL	0.465	species	NULL	NULL	NULL
136	191	NULL	Clusiaceae	RHEPOR	Garcinia	portoricensis	NULL	NULL	(Urb.) Alain	species	NULL	NULL	Clusiaceae	NULL	NULL	0.833585	species	NULL	NULL	NULL
137	192	NULL	Rubiaceae	RONPOR	Rondeletia	portoricensis	NULL	NULL	Krug & Urb.	species	NULL	NULL	Rubiaceae	NULL	NULL	0.775	species	NULL	NULL	NULL
138	193	NULL	Arecaceae	ROYBOR	Roystonea	borinquena	NULL	NULL	O.F. Cook	species	NULL	NULL	Arecaceae	NULL	NULL	0.82	species	NULL	NULL	NULL
139	194	NULL	Salicaceae	SAMSPI	Samyda	spinulosa	NULL	NULL	Vent.	species	NULL	NULL	Salicaceae	NULL	NULL	0.756121	genus	NULL	NULL	NULL
140	195	NULL	Euphorbiaceae	SAPLAU	Sapium	laurocerasus	NULL	NULL	Desf.	species	NULL	NULL	Euphorbiaceae	NULL	NULL	0.380714	species	NULL	NULL	NULL
141	196	NULL	Araliaceae	SCHMOR	Schefflera	morototoni	NULL	NULL	(Aubl.) Maguire	species	NULL	NULL	Araliaceae	NULL	NULL	0.453891	species	NULL	NULL	NULL
142	197	NULL	Simaroubaceae	SIMAMA	Simarouba	amara	NULL	NULL	Aubl.	species	NULL	NULL	Simaroubaceae	NULL	NULL	0.384643	species	NULL	NULL	NULL
143	198	NULL	Elaeocarpaceae	SLOBER	Sloanea	berteroana	NULL	NULL	Choisy ex DC.	species	NULL	NULL	Elaeocarpaceae	NULL	NULL	0.624723	genus	NULL	NULL	NULL
144	199	NULL	Solanaceae	SOLRUG	Solanum	rugosum	NULL	NULL	Dunal	species	NULL	NULL	Solanaceae	NULL	NULL	0.4925	species	NULL	NULL	NULL
145	200	NULL	Solanaceae	SOLTOR	Solanum	torvum	NULL	NULL	Sw.	species	NULL	NULL	Solanaceae	NULL	NULL	0.463333	species	NULL	NULL	NULL
146	201	NULL	Bignoniaceae	SPACAM	Spathodea	campanulata	NULL	NULL	P. Beauv.	species	NULL	NULL	Bignoniaceae	NULL	NULL	0.34396	species	NULL	NULL	NULL
147	202	NULL	Meliaceae	SWIMAC	Swietenia	macrophylla	NULL	NULL	King	species	NULL	NULL	Meliaceae	NULL	NULL	0.522409	species	NULL	NULL	NULL
148	203	NULL	Symplocaceae	SYMMAR	Symplocos	martinicensis	NULL	NULL	Jacq.	species	NULL	NULL	Symplocaceae	NULL	NULL	0.726609	species	NULL	NULL	NULL
149	204	NULL	Myrtaceae	SYZJAM	Syzygium	jambos	NULL	NULL	(L.) Alston	species	NULL	NULL	Myrtaceae	NULL	NULL	0.682282	species	NULL	NULL	NULL
150	205	NULL	Bignoniaceae	TABHET	Tabebuia	heterophylla	NULL	NULL	(DC.) Britton	species	NULL	NULL	Bignoniaceae	NULL	NULL	0.589445	species	NULL	NULL	NULL
151	206	NULL	Pentaphylacaceae	TERLUQ	Ternstroemia	luquillensis	NULL	NULL	Krug & Urb.	species	NULL	NULL	Theaceae	NULL	NULL	0.618091	genus	NULL	NULL	NULL
152	207	NULL	Burseraceae	TETBAL	Tetragastris	balsamifera	NULL	NULL	Oken	species	NULL	NULL	Burseraceae	NULL	NULL	0.591348	species	NULL	NULL	NULL
153	208	NULL	Melastomataceae	TETURB	Tetrazygia	urbanii	NULL	NULL	Cogn.	species	NULL	NULL	Melastomataceae	NULL	NULL	0.670511	family	NULL	NULL	NULL
154	209	NULL	Cannabaceae	TREMIC	Trema	micrantha	NULL	NULL	(L.) Blume	species	NULL	NULL	Ulmaceae	NULL	NULL	0.319417	species	NULL	NULL	NULL
155	210	NULL	Meliaceae	TRIPAL	Trichilia	pallida	NULL	NULL	Sw.	species	NULL	NULL	Meliaceae	NULL	NULL	0.698125	species	NULL	NULL	NULL
156	211	NULL	Tapisciaceae	TUROCC	Turpinia	occidentalis	NULL	NULL	(Sw.) G. Don	species	NULL	NULL	Staphyleaceae	NULL	NULL	0.354805	species	NULL	NULL	NULL
157	212	NULL	Unknown	UNIDEN	Unidentified	SPECIES	NULL	NULL	NA	species	NULL	NULL	unknown	NULL	NULL	0.584404	none	NULL	NULL	NULL
158	213	NULL	Urticaceae	UREBAC	Urera	baccifera	NULL	NULL	(L.) Gaudich. Ex Wedd.	species	NULL	NULL	Urticaceae	NULL	NULL	0.275078	species	NULL	NULL	NULL
159	214	NULL	Lamiaceae	VITDIV	Vitex	divaricata	NULL	NULL	Sw.	species	NULL	NULL	Lamiaceae 	NULL	NULL	0.62375	species	NULL	NULL	NULL
160	215	NULL	Myrsinaceae	WALPEN	Wallenia	lamarckiana	NULL	NULL	(A. DC.) Mex	species	NULL	NULL	Myrsinaceae	NULL	NULL	0.648781	family	NULL	NULL	NULL
161	216	NULL	Salicaceae	XYLSCH	Xylosma	schwaneckeana	NULL	NULL	(Krug & Urb.) Urb.	species	NULL	NULL	Salicaceae	NULL	NULL	0.719491	genus	NULL	NULL	NULL
162	217	NULL	Rutaceae	ZANMAR	Zanthoxylum	martinicense	NULL	NULL	(Lam.) DC.	species	NULL	NULL	Rutaceae	NULL	NULL	0.58425	species	NULL	NULL	NULL
163	218	NULL	Aquifoliaceae	ILENIT	Ilex	nitida	NULL	NULL	(Vahl) Maxim.	species	NULL	NULL	Aquifoliaceae	NULL	NULL	0.569156	genus	NULL	NULL	NULL
